(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(144370, 1, 5);[5, 40, 300, 10, 8];המשיח;38052;(3, 4, 3, 3, 38052);המשיח;1;(3, 4, 3, 7, 144370);אם הכהן המשיח יחטא לאשמת העם והקריב על חטאתו אשר חטא פר בן בקר תמים ליהוה לחטאת
(144499, 1, 5);[5, 40, 300, 10, 8];המשיח;38089;(3, 4, 5, 3, 38089);המשיח;1;(3, 4, 5, 9, 144499);ולקח הכהן המשיח מדם הפר והביא אתו אל אהל מועד
(145150, 1, 5);[5, 40, 300, 10, 8];המשיח;38270;(3, 4, 16, 3, 38270);המשיח;1;(3, 4, 16, 10, 145150);והביא הכהן המשיח מדם הפר אל אהל מועד
(148589, 1, 5);[5, 40, 300, 10, 8];המשיח;39199;(3, 6, 15, 2, 39199);המשיח;1;(3, 6, 15, 6, 148589);והכהן המשיח תחתיו מבניו יעשה אתה חק עולם ליהוה כליל תקטר
(21132, 5, 5);[5, 40, 300, 10, 8];המשיח;5648;(1, 18, 14, 2, 5648);מיהוה;5;(1, 18, 14, 10, 21132);היפלא מיהוה דבר למועד אשוב אליך כעת חיה ולשרה בן
(61344, 5, 5);[5, 40, 300, 10, 8];המשיח;16282;(1, 41, 26, 8, 16282);השבלים;1;(1, 41, 26, 25, 61344);שבע פרת הטבת שבע שנים הנה ושבע השבלים הטבת שבע שנים הנה חלום אחד הוא
(167820, 8, 5);[5, 40, 300, 10, 8];המשיח;44373;(3, 16, 32, 2, 44373);הכהן;1;(3, 16, 32, 5, 167820);וכפר הכהן אשר ימשח אתו ואשר ימלא את ידו לכהן תחת אביו ולבש את בגדי הבד בגדי הקדש
(98019, 13, 5);[5, 40, 300, 10, 8];המשיח;25867;(2, 13, 22, 7, 25867);האש;1;(2, 13, 22, 24, 98019);לא ימיש עמוד הענן יומם ועמוד האש לילה לפני העם
(197636, 13, 5);[5, 40, 300, 10, 8];המשיח;52115;(4, 6, 14, 4, 52115);ליהוה;3;(4, 6, 14, 16, 197636);והקריב את קרבנו ליהוה כבש בן שנתו תמים אחד לעלה וכבשה אחת בת שנתה תמימה לחטאת ואיל אחד תמים לשלמים
(251994, 14, 5);[5, 40, 300, 10, 8];המשיח;66206;(5, 1, 37, 4, 66206);יהוה;2;(5, 1, 37, 11, 251994);גם בי התאנף יהוה בגללכם לאמר גם אתה לא תבא שם
(3237, 20, 5);[5, 40, 300, 10, 8];המשיח;850;(1, 3, 7, 1, 850);ותפקחנה;7;(1, 3, 7, 7, 3237);ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת
(213644, 27, 5);[5, 40, 300, 10, 8];המשיח;56315;(4, 15, 8, 2, 56315);תעשה;4;(4, 15, 8, 7, 213644);וכי תעשה בן בקר עלה או זבח לפלא נדר או שלמים ליהוה
(100908, 28, 5);[5, 40, 300, 10, 8];המשיח;26611;(2, 15, 25, 4, 26611);ויורהו;5;(2, 15, 25, 16, 100908);ויצעק אל יהוה ויורהו יהוה עץ וישלך אל המים וימתקו המים שם שם לו חק ומשפט ושם נסהו
(18791, 30, 5);[5, 40, 300, 10, 8];המשיח;5036;(1, 16, 10, 4, 5036);יהוה;2;(1, 16, 10, 13, 18791);ויאמר לה מלאך יהוה הרבה ארבה את זרעך ולא יספר מרב
(65941, 33, 5);[5, 40, 300, 10, 8];המשיח;17486;(1, 43, 16, 13, 17486);הביתה;5;(1, 43, 16, 50, 65941);וירא יוסף אתם את בנימין ויאמר לאשר על ביתו הבא את האנשים הביתה וטבח טבח והכן כי אתי יאכלו האנשים בצהרים
(244448, 38, 5);[5, 40, 300, 10, 8];המשיח;64296;(4, 33, 7, 6, 64296);החירת;1;(4, 33, 7, 18, 244448);ויסעו מאתם וישב על פי החירת אשר על פני בעל צפון ויחנו לפני מגדל
(78549, 41, 5);[5, 40, 300, 10, 8];המשיח;20737;(2, 1, 14, 3, 20737);חייהם;4;(2, 1, 14, 12, 78549);וימררו את חייהם בעבדה קשה בחמר ובלבנים ובכל עבדה בשדה את כל עבדתם אשר עבדו בהם בפרך
